Token,Oracle Providers
1INCH,"Pyth, Chainlink"
3CRV,RedStone Core
AAVE,"RedStone Core, Pyth, Chainlink"
AEVO,Pyth
ALCX,Chainlink
ALT,Pyth
AMP,Pyth
ANKR,Pyth
APE,"RedStone Core, Pyth, Chainlink"
API3,Pyth
APXETH,"RedStone Classic, RedStone Core"
ARB,"RedStone Core, Pyth, Chainlink"
ARKM,Pyth
AUDIO,Pyth
AXL,Pyth
AXS,Pyth
BAL,"Pyth, Chainlink"
BAT,"Pyth, Chainlink"
BEAM,Pyth
BIFI,Pyth
BLUR,Pyth
CBETH,"Pyth, Chainlink"
CHZ,Pyth
COMP,"Pyth, Chainlink"
COW,Pyth
CRV,"RedStone Core, Pyth, Chainlink"
CRVFRAX,RedStone Core
CRVUSD,"RedStone Core, Chainlink"
CVX,"RedStone Core, Pyth, Chainlink"
DAI,"RedStone Core, Pyth, Chainlink"
ENA,Pyth
ENJ,"Pyth, Chainlink"
ENS,"Pyth, Chainlink"
ETH,"Chronicle, RedStone Core, Pyth, Chainlink"
ETH+,"RedStone Classic, RedStone Core"
ETHFI,Pyth
ETHX,"RedStone Classic, RedStone Core, Chainlink"
EURA,"RedStone Core, Pyth, Chainlink"
EURC,Pyth
EUROC,RedStone Core
EUSD,"RedStone Classic, RedStone Core"
EZETH,"RedStone Classic, RedStone Core, Pyth, Chainlink"
FDUSD,"Pyth, Chainlink"
FLOKI,Pyth
FRAX,"RedStone Core, Pyth, Chainlink"
FTM,"Pyth, Chainlink"
FXS,"RedStone Core, Pyth, Chainlink"
G,Pyth
GALA,Pyth
GHO,"RedStone Core, Pyth, Chainlink"
GMX,Pyth
GNO,"Chronicle, Pyth"
GRT,"Pyth, Chainlink"
HIGH,Chainlink
ILV,Pyth
IMX,"Pyth, Chainlink"
KNC,"Pyth, Chainlink"
LDO,"RedStone Core, Pyth, Chainlink"
LINK,"RedStone Core, Pyth, Chainlink"
LOOKS,Pyth
LQTY,Pyth
LUSD,"RedStone Core, Pyth, Chainlink"
MANA,"Pyth, Chainlink"
MASK,Pyth
MATIC,"Pyth, Chainlink"
MAVIA,Chainlink
METH,"Pyth, Chainlink"
MIM,Pyth
MKR,"Chronicle, RedStone Core, Pyth, Chainlink"
MLN,Chainlink
MNT,"RedStone Core, Pyth"
MOG,"Chronicle, Pyth"
NOTE,RedStone Core
ONDO,Pyth
OSETH,"RedStone Classic, RedStone Core"
OUSD,Pyth
PAX,Chainlink
PAXG,"Pyth, Chainlink"
PENDLE,Pyth
PEPE,"Chronicle, Pyth"
PERP,"Pyth, Chainlink"
PRIME,Pyth
PUFETH,"RedStone Classic, RedStone Core, Pyth"
PXETH,"RedStone Core, Pyth"
PYUSD,"Pyth, Chainlink"
QNT,Pyth
RETH,"RedStone Core, Pyth, Chainlink"
REZ,Pyth
RLB,Pyth
RNDR,Pyth
RPL,"Pyth, Chainlink"
RSETH,"RedStone Classic, RedStone Core, Pyth, Chainlink"
RSR,"RedStone Core, Pyth, Chainlink"
RSWETH,"RedStone Classic, RedStone Core, Pyth, Chainlink"
SAFE,Pyth
SD,Pyth
SDAI,"RedStone Core, Pyth"
SFRXETH,"RedStone Classic, RedStone Core, Pyth"
SHIB,"Pyth, Chainlink"
SKL,Pyth
SNX,"Pyth, Chainlink"
STETH,"Chronicle, RedStone Core, Pyth, Chainlink"
STG,"Pyth, Chainlink"
STONE,"RedStone Core, Pyth"
SUSD,Chainlink
SUSDE,"RedStone Classic, RedStone Core, Pyth, Chainlink"
SUSHI,"Pyth, Chainlink"
SWETH,"RedStone Classic, RedStone Core, Pyth, Chainlink"
SYN,Pyth
TAO,"Pyth, Chainlink"
TBTC,"Pyth, Chainlink"
TUSD,"Pyth, Chainlink"
UMA,Pyth
UNI,"RedStone Core, Pyth, Chainlink"
USDC,"RedStone Core, Pyth, Chainlink"
USDE,"RedStone Classic, RedStone Core, Pyth, Chainlink"
USDP,"Pyth, Chainlink"
USDT,"RedStone Core, Pyth, Chainlink"
USDV,Chainlink
USDY,Pyth
W,Pyth
WBTC,"RedStone Core, Pyth, Chainlink"
WEETH,"RedStone Classic, RedStone Core, Pyth, Chainlink"
WETH,Pyth
WLD,Pyth
WOJAK,Pyth
WOO,Pyth
WSTETH,"Chronicle, RedStone Core, Pyth"
WUSDM,RedStone Core
XAUT,Pyth
YFI,"Pyth, Chainlink"
ZETA,Pyth
ZRO,Pyth
ZRX,Chainlink
